filename;modality_id;modality;vocal_channel_id;vocal_channel;emotion_id;emotion;intensity_id;intensity;statement_id;statement;repetition_id;repetition;actor_id;actor_num;gender;neutral_no_strong_violation
03-01-01-01-01-01-01.wav;03;audio-only;01;speech;01;neutral;01;normal;01;Kids are talking by the door;01;1;01;1;male;False
03-01-01-01-01-02-01.wav;03;audio-only;01;speech;01;neutral;01;normal;01;Kids are talking by the door;02;2;01;1;male;False
03-01-01-01-02-01-01.wav;03;audio-only;01;speech;01;neutral;01;normal;02;Dogs are sitting by the door;01;1;01;1;male;False
03-01-01-01-02-02-01.wav;03;audio-only;01;speech;01;neutral;01;normal;02;Dogs are sitting by the door;02;2;01;1;male;False
03-01-02-01-01-01-01.wav;03;audio-only;01;speech;02;calm;01;normal;01;Kids are talking by the door;01;1;01;1;male;False
03-01-02-01-01-02-01.wav;03;audio-only;01;speech;02;calm;01;normal;01;Kids are talking by the door;02;2;01;1;male;False
03-01-02-01-02-01-01.wav;03;audio-only;01;speech;02;calm;01;normal;02;Dogs are sitting by the door;01;1;01;1;male;False
03-01-02-01-02-02-01.wav;03;audio-only;01;speech;02;calm;01;normal;02;Dogs are sitting by the door;02;2;01;1;male;False
03-01-02-02-01-01-01.wav;03;audio-only;01;speech;02;calm;02;strong;01;Kids are talking by the door;01;1;01;1;male;False
03-01-02-02-01-02-01.wav;03;audio-only;01;speech;02;calm;02;strong;01;Kids are talking by the door;02;2;01;1;male;False
03-01-02-02-02-01-01.wav;03;audio-only;01;speech;02;calm;02;strong;02;Dogs are sitting by the door;01;1;01;1;male;False
03-01-02-02-02-02-01.wav;03;audio-only;01;speech;02;calm;02;strong;02;Dogs are sitting by the door;02;2;01;1;male;False
03-01-03-01-01-01-01.wav;03;audio-only;01;speech;03;happy;01;normal;01;Kids are talking by the door;01;1;01;1;male;False
03-01-03-01-01-02-01.wav;03;audio-only;01;speech;03;happy;01;normal;01;Kids are talking by the door;02;2;01;1;male;False
03-01-03-01-02-01-01.wav;03;audio-only;01;speech;03;happy;01;normal;02;Dogs are sitting by the door;01;1;01;1;male;False
03-01-03-01-02-02-01.wav;03;audio-only;01;speech;03;happy;01;normal;02;Dogs are sitting by the door;02;2;01;1;male;False
03-01-03-02-01-01-01.wav;03;audio-only;01;speech;03;happy;02;strong;01;Kids are talking by the door;01;1;01;1;male;False
03-01-03-02-01-02-01.wav;03;audio-only;01;speech;03;happy;02;strong;01;Kids are talking by the door;02;2;01;1;male;False
03-01-03-02-02-01-01.wav;03;audio-only;01;speech;03;happy;02;strong;02;Dogs are sitting by the door;01;1;01;1;male;False
03-01-03-02-02-02-01.wav;03;audio-only;01;speech;03;happy;02;strong;02;Dogs are sitting by the door;02;2;01;1;male;False
03-01-04-01-01-01-01.wav;03;audio-only;01;speech;04;sad;01;normal;01;Kids are talking by the door;01;1;01;1;male;False
